"License Number","License Type","Legal Business Name","Type of License","Date","Expires On","Status","City - County",
"TML18-0016121","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016125","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016138","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016139","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016151","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016156","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016158","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016166","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016173","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016178","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016181","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016190","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016203","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016205","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016217","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016226","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016231","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016242","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016248","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016252","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016255","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016262","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016278","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016566","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016573","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016575","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016580","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016584","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016893","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016892","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016890","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016888","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016887","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016886","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016885","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016884","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016883","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016882","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016881","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016880","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016879","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016877","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016876","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016875","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016857","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016856","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016855","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0015009","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016854","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0014976","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014943","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016853","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016811","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016810","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016809","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0014919","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014872","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014845","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014813","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014810","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014808","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014787","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014786","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014783","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014760","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014759","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014749","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014741","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014738","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014719","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016808","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016807","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TAL18-0016602","Temporary Cannabis Cultivation License","Humblco, Inc.","Specialty Mixed-Light Tier 1","12/20/2018","04/19/2019","Active","Blue Lake - Humboldt County",
"TAL18-0016567","Temporary Cannabis Cultivation License","Humblco, Inc.","Small Outdoor","12/20/2018","04/19/2019","Active","Blue Lake - Humboldt County",
"TML18-0016525","Temporary Cannabis Cultivation License","Grow Op Farms CA, LLC","Nursery","12/20/2018","04/19/2019","Active","Lancaster - Los Angeles County",
"TML18-0016524","Temporary Cannabis Cultivation License","Grow Op Farms CA, LLC","Nursery","12/20/2018","04/19/2019","Active","Lancaster - Los Angeles County",
"TML18-0016520","Temporary Cannabis Cultivation License","Grow Op Farms CA, LLC","Small Mixed-Light Tier 2","12/20/2018","04/19/2019","Active","Lancaster - Los Angeles County",
"TML18-0016516","Temporary Cannabis Cultivation License","Grow Op Farms CA, LLC","Small Mixed-Light Tier 2","12/20/2018","04/19/2019","Active","Lancaster - Los Angeles County",
"TML18-0016513","Temporary Cannabis Cultivation License","Grow Op Farms CA, LLC","Small Mixed-Light Tier 2","12/20/2018","04/19/2019","Active","Lancaster - Los Angeles County",
"TML18-0016509","Temporary Cannabis Cultivation License","Grow Op Farms CA, LLC","Small Mixed-Light Tier 2","12/20/2018","04/19/2019","Active","Lancaster - Los Angeles County",
"TML18-0016506","Temporary Cannabis Cultivation License","Grow Op Farms CA, LLC","Small Mixed-Light Tier 2","12/20/2018","04/19/2019","Active","Lancaster - Los Angeles County",
"TML18-0016501","Temporary Cannabis Cultivation License","Grow Op Farms CA, LLC","Small Indoor","12/20/2018","04/19/2019","Active","Lancaster - Los Angeles County",
"TML18-0016499","Temporary Cannabis Cultivation License","Grow Op Farms CA, LLC","Small Indoor","12/20/2018","04/19/2019","Active","Lancaster - Los Angeles County",
"TML18-0016496","Temporary Cannabis Cultivation License","Grow Op Farms CA, LLC","Small Indoor","12/20/2018","04/19/2019","Active","Lancaster - Los Angeles County",
"TML18-0016493","Temporary Cannabis Cultivation License","Grow Op Farms CA, LLC","Small Indoor","12/20/2018","04/19/2019","Active","Lancaster - Los Angeles County",
"TML18-0016489","Temporary Cannabis Cultivation License","Grow Op Farms CA, LLC","Processor","12/20/2018","04/19/2019","Active","Lancaster - Los Angeles County",
"TML18-0016478","Temporary Cannabis Cultivation License","Grow Op Farms CA, LLC","Small Indoor","12/20/2018","04/19/2019","Active","Lancaster - Los Angeles County",
"TML18-0016472","Temporary Cannabis Cultivation License","Grow Op Farms CA, LLC","Small Indoor","12/20/2018","04/19/2019","Active","Lancaster - Los Angeles County",
"TML18-0016467","Temporary Cannabis Cultivation License","Grow Op Farms CA, LLC","Medium Indoor","12/20/2018","04/19/2019","Active","Lancaster - Los Angeles County",
"TML18-0016464","Temporary Cannabis Cultivation License","Ridgestock Farms LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Nevada City - Nevada County",
"TAL18-0017270","Temporary Cannabis Cultivation License","green rock llc","Processor","12/20/2018","04/19/2019","Active","Covina - Mendocino County",
"TML18-0016463","Temporary Cannabis Cultivation License","Grow Op Farms CA, LLC","Small Indoor","12/20/2018","04/19/2019","Active","Lancaster - Los Angeles County",
"TML18-0017220","Temporary Cannabis Cultivation License","Nanofarms, Inc.","Specialty Mixed-Light Tier 1","12/20/2018","04/19/2019","Active","Watsonville - Santa Cruz County",
"TAL18-0017211","Temporary Cannabis Cultivation License","Clear Creek Farms, LLC","Specialty Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Humboldt County",
"TML18-0016943","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016942","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016941","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016940","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016939","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016938","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016937","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016936","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016453","Temporary Cannabis Cultivation License","Grow Op Farms CA, LLC","Small Indoor","12/20/2018","04/19/2019","Active","Lancaster - Los Angeles County",
"TML18-0016434","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016432","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TAL18-0015935","Temporary Cannabis Cultivation License","Emerging Aquaponics","Nursery","12/20/2018","04/19/2019","Active","California City - Kern County",
"TML18-0015598","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016935","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016934","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016933","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016932","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016931","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016930","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016929","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0014717","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016907","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016906","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0014713","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016902","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0014691","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014690","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016901","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0014685","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014672","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014662","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TAL18-0014661","Temporary Cannabis Cultivation License","Larabee Farm, LLC","Small Mixed-Light Tier 2","12/20/2018","07/18/2019","Active","Unincorporated - Humboldt County",
"TML18-0016899","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0016898","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0014655","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016897","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0014641","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Specialty Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0016895","Temporary Cannabis Cultivation License","Iron Angel II, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Buellton - Santa Barbara County",
"TML18-0014634","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014632","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014627","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014610","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014609","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014593","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014591","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014581","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014575","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014571","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TAL18-0008187","Temporary Cannabis Cultivation License","Veda Distribution LLC","Processor","12/20/2018","04/19/2019","Active","Desert Hot Springs - Riverside County",
"TML18-0014556","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014546","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TAL18-0008115","Temporary Cannabis Cultivation License","Nor Cal Kronic","Small Outdoor","12/20/2018","04/19/2019","Active","Placentia - Trinity County",
"TML18-0014533","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014530","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014520","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014512","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014497","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014496","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014490","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014474","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014471","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014463","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014448","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014442","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014432","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014423","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014394","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014387","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014379","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014366","Temporary Cannabis Cultivation License","Coyote Hills Agricultural Enterprise, LLC","Small Outdoor","12/20/2018","04/19/2019","Active","Unincorporated - Santa Barbara County",
"TML18-0014364","Temporary Cannabis Cultivation License","GREEN GROVE FAMILY FARM","Small Outdoor","12/20/2018","07/18/2019","Active","Unincorporated - Humboldt County",
"TML18-0014353","Temporary Cannabis Cultivation License","Larabee Farm, LLC","Small Mixed-Light Tier 2","12/20/2018","07/18/2019","Active","Unincorporated - Humboldt County",
